Código,Qtde. Teórica
RRRP3,235.665.566
ALOS3,532.616.595
ALPA4,176.733.968
ABEV3,4.394.245.879
ARZZ3,62.305.891
ASAI3,1.349.217.892
AZUL4,327.593.725
B3SA3,5.602.790.110
BBSE3,671.750.768
BBDC3,1.500.728.902
BBDC4,5.146.576.868
BRAP4,251.003.438
BBAS3,1.420.949.112
BRKM5,265.877.867
BRFS3,1.677.525.446
BPAC11,1.150.645.866
CRFB3,533.990.587
BHIA3,94.843.047
CCRO3,995.335.937
CMIG4,1.437.415.777
CIEL3,1.095.462.329
COGN3,1.814.920.980
CPLE6,1.679.335.290
CSAN3,1.168.097.881
CPFE3,187.732.538
CMIN3,1.110.559.345
CVCB3,525.582.771
CYRE3,265.784.616
DXCO3,302.768.240
ELET3,1.980.568.384
ELET6,268.544.014
EMBR3,734.632.705
ENGI11,290.386.402
ENEV3,1.579.130.168
EGIE3,255.236.961
EQTL3,1.095.587.251
EZTC3,91.514.307
FLRY3,240.822.651
GGBR4,1.118.525.506
GOAU4,660.411.219
GOLL4,198.184.909
NTCO3,846.244.302
SOMA3,496.029.967
HAPV3,4.394.332.306
HYPE3,409.490.388
IGTI11,217.622.138
IRBR3,81.838.843
ITSA4,5.372.783.971
ITUB4,4.801.593.832
JBSS3,1.134.986.472
KLBN11,706.747.385
RENT3,853.202.347
LREN3,951.329.770
LWSA3,393.173.139
MGLU3,2.867.627.068
MRFG3,331.799.687
BEEF3,261.036.182
MRVE3,376.187.582
MULT3,268.505.432
PCAR3,159.430.826
PETR3,2.379.877.655
PETR4,4.566.445.852
RECV3,275.005.663
PRIO3,800.010.734
PETZ3,309.729.428
RADL3,1.275.798.515
RAIZ4,1.193.047.233
RDOR3,1.168.230.366
RAIL3,1.218.352.541
SBSP3,340.001.799
SANB11,342.918.449
SMTO3,142.377.330
CSNA3,600.865.451
SLCE3,195.751.130
SUZB3,683.452.836
TAEE11,218.568.234
VIVT3,423.091.712
TIMS3,807.896.814
TOTS3,514.122.351
TRPL4,395.801.044
UGPA3,1.086.411.192
USIM5,515.117.391
VALE3,4.196.924.316
VAMO3,421.383.330
VBBR3,1.114.412.532
WEGE3,1.481.593.024
YDUQ3,289.347.914
Quantidade Teórica Total,96.372.098.181
Redutor,"17.047.850,79"
